scientificName,description
Curruca communis,"Curruca communis, commonly known as the common whitethroat, is a small passerine bird belonging to the family Sylviidae. It inhabits open woodlands, scrublands, hedgerows, and garden edges across much of Europe and western Asia. This species exhibits a migratory pattern, wintering primarily in sub-Saharan Africa. The diet of Curruca communis primarily consists of insects and other small invertebrates, supplemented by berries during the autumn months. Behaviorally, it is noted for its distinctive, rapid song delivered from exposed perches and a notably active foraging style. Currently, the species is classified as Least Concern by the IUCN due to its wide distribution and stable population trends."
Curruca communis communis,"Curruca communis communis, commonly known as the common whitethroat, is a small passerine bird within the Sylviidae family. This subspecies inhabits open scrub, heathland, and farmland with scattered bushes across much of Europe and western Asia. It is a migratory species, breeding in temperate regions and wintering in sub-Saharan Africa. Its diet primarily consists of insects and other small invertebrates during the breeding season, supplemented by berries in autumn. Behaviorally, the common whitethroat is noted for its lively and conspicuous song, often delivered from exposed perches. Currently, its conservation status is classified as Least Concern, reflecting stable population trends across its range."
Curruca curruca,"Curruca curruca, commonly known as the Lesser Whitethroat, is a small passerine bird belonging to the Sylviidae family. It inhabits open woodlands, scrublands, and hedgerows across Europe and western Asia, migrating to the Indian subcontinent and eastern Africa during winter. The species primarily feeds on insects and spiders, supplemented by berries and fruits, particularly in autumn. Behaviorally, the Lesser Whitethroat is known for its distinctive, sharp call and skulking habits within dense vegetation. It breeds in temperate regions, building nests low in shrubs. Currently, Curruca curruca is classified as Least Concern by the IUCN, with stable population trends across its range."
Cyanistes caeruleus,"Cyanistes caeruleus, commonly known as the Eurasian blue tit, is a small passerine bird native to Europe and parts of western Asia. It inhabits deciduous and mixed woodlands, gardens, and parks, frequently favoring areas with oak trees. The species primarily feeds on insects, caterpillars, seeds, and nuts, exhibiting agile foraging behavior often seen hanging upside down on branches. Blue tits are socially active, especially during winter, and nest in tree cavities or nest boxes, laying clutches of around 7–13 eggs. Currently, Cyanistes caeruleus is classified as Least Concern by the IUCN due to its wide distribution, large population, and stable trends."
Dendrocopos major,"Dendrocopos major, commonly known as the Great Spotted Woodpecker, is a medium-sized woodpecker species widespread across Europe and parts of Asia. It inhabits deciduous and mixed forests, as well as parks and gardens with mature trees. The species exhibits a predominantly insectivorous diet, feeding on wood-boring larvae, ants, and other invertebrates, supplemented by seeds and nuts during winter. Behaviorally, D. major is known for its characteristic drumming on tree trunks used for communication and territorial displays. It nests in tree cavities excavated by both sexes. The Great Spotted Woodpecker is classified as Least Concern by the IUCN, reflecting a stable population trend across its range."
Dryocopus martius,"Dryocopus martius, commonly known as the Black Woodpecker, is a large woodpecker species distributed across Europe and northern and eastern Asia. Its preferred habitat consists of mature, deciduous or mixed forests with old trees, which provide suitable nesting sites. The species primarily feeds on wood-boring insects, larvae, and ants, excavating tree trunks to access prey. Black Woodpeckers exhibit solitary or paired behavior, often using loud drumming on trees for communication and territory defense. Currently, Dryocopus martius maintains a stable population and is classified as Least Concern by the IUCN, although habitat loss and forest fragmentation may pose localized threats."
Emberiza calandra,"Emberiza calandra, commonly known as the Corn Bunting, is a passerine bird species belonging to the family Emberizidae. It is widely distributed across Europe, North Africa, and parts of western Asia, inhabiting open agricultural landscapes, grasslands, and farmlands with scattered bushes. The Corn Bunting primarily feeds on seeds, supplemented by insects during the breeding season to provide protein for nestlings. Behaviorally, it is a ground feeder and is known for its distinctive, jangling song delivered from elevated perches. The species is currently classified as Least Concern by the IUCN, although local population declines have been noted due to agricultural intensification and habitat loss."
Emberiza citrinella,"Emberiza citrinella, commonly known as the yellowhammer, is a passerine bird species within the family Emberizidae. It inhabits open countryside environments, including farmland, heathland, and woodland edges across much of Europe and parts of Asia. The species exhibits a primarily granivorous diet, feeding on seeds during winter, while incorporating insects, particularly in the breeding season to nourish nestlings. Behaviorally, E. citrinella is known for its distinctive, repetitive song and territoriality, especially during breeding. The bird nests on or near the ground, often concealed by vegetation. Currently, the yellowhammer is classified as Least Concern on the IUCN Red List, although some regional population declines have been observed due to agricultural intensification."
Emberiza hortulana,"Emberiza hortulana, commonly known as the ortolan bunting, is a small passerine bird species within the family Emberizidae. It inhabits open landscapes such as farmland, grasslands, and scrub areas, often favoring temperate regions with scattered bushes. The species has a Palearctic distribution, breeding across much of Europe and western Asia and migrating to sub-Saharan Africa for the winter. Its diet primarily consists of seeds and insects, the latter being more prominent during the breeding season to support nestlings. Emberiza hortulana exhibits shy and elusive behavior, often remaining well concealed in dense vegetation. Currently, the species is classified as Least Concern on the IUCN Red List, although populations have experienced localized declines due to habitat alteration."
Emberiza schoeniclus,"Emberiza schoeniclus, commonly known as the Eurasian reed bunting, is a small passerine bird primarily inhabiting wetlands, reed beds, and marshy areas across Europe and Asia. Its distribution extends from Western Europe through Siberia to parts of East Asia. The species favors dense vegetation near water bodies for breeding and foraging. Its diet mainly consists of seeds, supplemented by insects during the breeding season to provide protein for nestlings. Behaviorally, Emberiza schoeniclus is typically shy and inconspicuous, often perching low in reeds or bushes. The International Union for Conservation of Nature (IUCN) currently lists it as Least Concern, reflecting a stable overall population despite local declines."
Erithacus rubecula,"Erithacus rubecula, commonly known as the European robin, is a small passerine bird widely distributed across Europe, western Asia, and parts of North Africa. It inhabits a variety of environments including woodlands, gardens, parks, and hedgerows. The species is predominantly insectivorous, feeding on insects, spiders, and other invertebrates, supplemented by fruits and seeds during winter. Erithacus rubecula is characterized by territorial behavior, with males singing to defend their territories year-round. It exhibits a generally solitary nature outside the breeding season. The conservation status of the European robin is classified as Least Concern by the IUCN, reflecting its stable population trends and broad distribution."
Ficedula hypoleuca,"Ficedula hypoleuca, commonly known as the European pied flycatcher, is a small passerine bird found primarily across Europe and western Asia. It inhabits deciduous and mixed woodlands, often favoring oak and birch forests, as well as parklands and gardens during breeding season. The species is insectivorous, feeding predominantly on flying insects and spiders, which it captures in mid-air or from foliage. European pied flycatchers exhibit migratory behavior, wintering in sub-Saharan Africa. They are cavity nesters, utilizing natural tree holes or nest boxes for reproduction. Currently, Ficedula hypoleuca is classified as Least Concern by the IUCN, with stable population trends despite localized habitat changes."
Fringilla coelebs,"Fringilla coelebs, commonly known as the common chaffinch, is a passerine bird found throughout Europe, North Africa, and western Asia. It inhabits diverse environments including woodlands, gardens, parks, and farmland, favoring areas with ample tree cover. The species is primarily granivorous, feeding on seeds, supplemented by insects and other invertebrates especially during the breeding season. Fringilla coelebs exhibits territorial behavior during breeding, with males displaying distinctive songs to attract mates and defend territories. The species is largely resident but some northern populations migrate southwards in winter. Currently, the common chaffinch is classified as Least Concern by the IUCN, reflecting its widespread distribution and stable population trends."
Fringilla coelebs coelebs,"Fringilla coelebs coelebs, commonly known as the common chaffinch, is a small passerine bird native to Europe and parts of North Africa. It inhabits a variety of woodland environments, including deciduous and mixed forests, parks, and gardens. Its distribution spans from western Europe to western Asia, with migratory populations in northern regions. The diet primarily consists of seeds, insects, and other small invertebrates, varying seasonally. Behaviorally, the species is known for its distinct, melodic song used in territory establishment and mating. Currently, Fringilla coelebs coelebs is classified as Least Concern by the IUCN, reflecting a stable population without significant threats."
Fulica atra,"Fulica atra, commonly known as the Eurasian coot, is a widespread waterbird species within the family Rallidae. It inhabits freshwater lakes, ponds, marshes, and slow-moving rivers across Europe, Asia, Australia, and parts of North Africa. The species favors areas with abundant aquatic vegetation, which provides cover and feeding opportunities. Its diet primarily consists of aquatic plants, algae, insects, small fish, and other invertebrates. Fulica atra exhibits territorial behavior during the breeding season and is known for its distinctive lobed feet, which aid in swimming. The species is currently classified as Least Concern by the IUCN, reflecting a stable global population without significant threats."
Gallinago gallinago,"Gallinago gallinago, commonly known as the common snipe, is a wading bird species widely distributed across Europe, Asia, and parts of northern Africa. It inhabits wetlands, marshes, and damp grasslands, where it uses its long, sensitive bill to probe soft mud for invertebrates. Its diet primarily consists of insects, earthworms, and small aquatic creatures. The species exhibits cryptic plumage for camouflage and distinctive zigzag flight patterns during display flights. Gallinago gallinago is mostly migratory, with northern populations moving southward during winter. Currently classified as Least Concern by the IUCN, its populations are stable, although habitat loss due to wetland drainage poses localized threats."
Gallinula chloropus,"Gallinula chloropus, commonly known as the common moorhen or waterhen, is a widely distributed bird species found across Europe, Asia, Africa, and parts of the Americas. It typically inhabits freshwater wetlands, including marshes, ponds, lakes, and slow-moving rivers with dense aquatic vegetation. The species is omnivorous, feeding on a varied diet of aquatic plants, seeds, insects, small fish, and amphibians. Behaviorally, Gallinula chloropus is often observed waddling on floating vegetation and swimming with ease, displaying territoriality during the breeding season. Its conservation status is classified as Least Concern by the IUCN, reflecting stable global population trends despite localized habitat pressures."
Garrulus glandarius,"Garrulus glandarius, commonly known as the Eurasian jay, is a passerine bird in the family Corvidae. It inhabits mixed woodlands, particularly those with oak and coniferous trees, across a wide distribution spanning Europe, North Africa, and parts of Asia. The species is omnivorous, feeding on acorns, seeds, insects, small vertebrates, and occasionally eggs and nestlings. Notable for its intelligence and complex social behavior, the Eurasian jay is known to cache food for later consumption and communicates using a variety of calls. Currently, Garrulus glandarius is listed as Least Concern by the IUCN, with stable populations throughout its range."
Grus grus,"Grus grus, commonly known as the common crane, is a large bird species native to temperate regions of Europe and Asia. It inhabits wetlands, marshes, and bogs, favoring open landscapes with abundant water sources for nesting and foraging. Its distribution ranges from Scandinavia and Eastern Europe to parts of Central Asia. The common crane is omnivorous, feeding on a varied diet including seeds, roots, insects, small vertebrates, and agricultural crops. Behaviorally, it is known for elaborate courtship dances and strong pair bonds. Migration occurs seasonally, with birds traveling to southern Europe, North Africa, and parts of Asia during winter. The species is currently classified as Least Concern by the IUCN, although habitat loss poses localized threats."
Haematopus ostralegus,"Haematopus ostralegus, commonly known as the Eurasian oystercatcher, is a wader species widely distributed across coastal Europe and Asia. It inhabits sandy and rocky shorelines, estuaries, and mudflats, favoring areas rich in bivalve mollusks. Its diet primarily consists of shellfish, particularly oysters, mussels, and cockles, which it accesses using its strong, chisel-like bill. The species exhibits territorial behavior during the breeding season, nesting in shallow scrapes on the ground. Haematopus ostralegus is listed as Least Concern by the IUCN, though some local populations face threats from habitat disturbance and pollution. Conservation efforts focus on protecting important coastal habitats."
Hippolais icterina,"Hippolais icterina, commonly known as the Icterine Warbler, is a small passerine bird belonging to the family Acrocephalidae. It is primarily distributed across temperate Europe and western Asia, with its breeding range extending from the British Isles eastward to Siberia. This species inhabits deciduous and mixed woodlands, often favoring areas with dense shrubbery and tall trees near water bodies. The Icterine Warbler’s diet mainly consists of insects and other small invertebrates, supplemented occasionally by berries. It exhibits a distinctive, melodious song used for territory defense and mate attraction during the breeding season. Currently, Hippolais icterina is classified as Least Concern on the IUCN Red List due to its wide range and stable population trends."
Hirundo rustica,"Hirundo rustica, commonly known as the barn swallow, is a widely distributed passerine bird species found across North America, Europe, Asia, and parts of North Africa. This species inhabits open or semi-open areas, including farmland, grasslands, and near bodies of water, often nesting in human-made structures such as barns. Their diet primarily consists of flying insects, which they catch in aerial foraging flights. Barn swallows exhibit strong migratory behavior, with populations breeding in temperate regions and wintering in the tropics. The species is known for its agile flight and social behavior, often seen in flocks. Currently, Hirundo rustica is classified as Least Concern by the IUCN due to its large population and extensive range."
Ixobrychus minutus,"Ixobrychus minutus, commonly known as the Little Bittern, is a small heron species inhabiting reed beds and wetlands across Europe, parts of Asia, and Africa. It typically prefers dense, freshwater marshes with abundant emergent vegetation. The species exhibits a widespread but patchy distribution, often favoring secluded habitats. Its diet consists mainly of small fish, aquatic insects, amphibians, and other invertebrates, captured through stealthy hunting techniques. Behaviorally, I. minutus is secretive and crepuscular, often remaining hidden within reeds. Currently, the Little Bittern is classified as Least Concern by the IUCN, though habitat destruction and wetland drainage pose ongoing threats to localized populations."
