scientificName,description
Coturnix coturnix,"Coturnix coturnix, commonly known as the common quail, is a small ground-dwelling bird native to Europe, North Africa, and parts of Asia. It inhabits open landscapes such as grasslands, agricultural fields, and scrublands, preferring areas with dense vegetation for cover. The species is mainly granivorous, feeding on seeds, but also consumes insects and other small invertebrates, particularly during the breeding season. Coturnix coturnix exhibits migratory behavior, with northern populations moving southwards in winter. Its conservation status is currently listed as Least Concern by the IUCN, although habitat loss and hunting pressure can locally impact populations."
Cuculus canorus,"Cuculus canorus, commonly known as the common cuckoo, is a medium-sized bird species distributed across Europe and Asia, extending into North Africa. It inhabits a variety of environments, including open woodlands, moorlands, and farmland with scattered trees. The species is obligate brood parasitic, laying its eggs in the nests of other bird species, primarily small passerines. Its diet consists mainly of insects and their larvae, with a preference for caterpillars, including hairy species avoided by many birds. Behaviorally, the common cuckoo is known for its distinctive two-note call, particularly during the breeding season. It is currently classified as Least Concern by the IUCN, with stable population trends across much of its range."
Curruca communis,"Curruca communis, commonly known as the Common Whitethroat, is a small migratory passerine bird within the Sylviidae family. It inhabits open countryside with dense shrubs and hedgerows, favoring temperate regions across Europe and western Asia. During winter, it migrates to sub-Saharan Africa. The species primarily feeds on insects and other small invertebrates, supplemented by berries, especially in autumn. Behaviorally, Curruca communis is noted for its energetic foraging and a distinctive, melodic song used during the breeding season to establish territory and attract mates. Currently, it holds a conservation status of Least Concern according to the IUCN, with stable population trends across its range."
Curruca communis communis,"Curruca communis communis, commonly known as the common whitethroat, is a small passerine bird within the Sylviidae family. It inhabits open scrublands, hedgerows, and gardens primarily across Europe and western Asia, extending into parts of North Africa during winter migration. This species is insectivorous, feeding mainly on caterpillars, beetles, and other small invertebrates, supplemented by berries during autumn. Behaviorally, the common whitethroat is noted for its distinctive, melodious song and active foraging habits. It is typically migratory, breeding in temperate regions and wintering in sub-Saharan Africa. The species is currently classified as Least Concern by the IUCN, with stable population trends across its range."
Curruca curruca,"Curruca curruca, commonly known as the Lesser Whitethroat, is a small passerine bird belonging to the family Sylviidae. It inhabits open woodlands, scrublands, and hedgerows, often favoring areas with dense undergrowth across Europe and western Asia. The species is primarily migratory, wintering in tropical Africa. Its diet mainly consists of insects and other small invertebrates, supplemented occasionally by berries and seeds. Curruca curruca exhibits a secretive behavior, often staying concealed within dense foliage while foraging. The species breeds in low shrubs, constructing cup-shaped nests. Currently, the Lesser Whitethroat is classified as Least Concern on the IUCN Red List, with stable population trends."
Cyanistes caeruleus,"Cyanistes caeruleus, commonly known as the Eurasian blue tit, is a small passerine bird found across Europe and parts of western Asia. It inhabits deciduous and mixed woodlands, gardens, and parks, favoring areas with abundant tree cover. The species primarily feeds on insects, spiders, and seeds, often foraging acrobatically among branches and foliage. Blue tits exhibit complex social behavior, including cooperative breeding and vocal communication. Nesting occurs in tree cavities or nest boxes, with a typical clutch size of 7–13 eggs. Currently, Cyanistes caeruleus is classified as Least Concern on the IUCN Red List, reflecting its wide distribution and stable population."
Dendrocopos major,"Dendrocopos major, commonly known as the great spotted woodpecker, is a medium-sized woodpecker widespread across Europe and northern Asia. It inhabits a variety of wooded environments, including deciduous and mixed forests, parks, and gardens. The species primarily feeds on insects, particularly larvae found under bark, as well as seeds and nuts, especially during winter. Behaviorally, D. major is known for its distinctive drumming on tree trunks used for territory establishment and communication. Nesting occurs in tree cavities excavated by the birds themselves. The great spotted woodpecker is currently classified as Least Concern by the IUCN, reflecting a stable population trend across its range."
Dryocopus martius,"Dryocopus martius, commonly known as the black woodpecker, is a large woodpecker species native to Eurasian forests. It inhabits mature deciduous and mixed forests, often preferring areas with large, old trees suitable for nesting and foraging. Its distribution extends from northern Europe across Siberia to East Asia. The black woodpecker primarily feeds on wood-boring insects and larvae, which it excavates from tree trunks using its strong bill. Behaviorally, it is mostly solitary and territorial, with drumming used for communication. Currently, the species is classified as Least Concern by the IUCN, reflecting stable populations across its range despite localized habitat pressures."
Emberiza calandra,"Emberiza calandra, commonly known as the corn bunting, is a passerine bird species belonging to the family Emberizidae. It inhabits open agricultural landscapes, grasslands, and scrubby areas, primarily favoring temperate regions. The species is widely distributed across Europe, North Africa, and western Asia. Its diet consists mainly of seeds, supplemented by insects during the breeding season. Emberiza calandra exhibits ground-feeding behavior and is known for its distinctive repetitive song delivered from elevated perches. Although populations have experienced declines in some areas due to habitat loss and agricultural intensification, it is currently classified as Least Concern by the IUCN Red List, reflecting a relatively stable global population."
Emberiza citrinella,"Emberiza citrinella, commonly known as the yellowhammer, is a passerine bird species within the family Emberizidae. It inhabits open countryside across Europe and parts of western Asia, favoring farmland, hedgerows, and grasslands with scattered bushes. The yellowhammer’s diet primarily consists of seeds and grains, supplemented by insects during the breeding season to provide protein for nestlings. Behaviorally, this species is known for its distinctive song, used in territorial displays and mate attraction. Emberiza citrinella is largely sedentary, with some northern populations undertaking short-distance migrations. Currently, it is classified as Least Concern by the IUCN, although localized declines have been noted due to changes in agricultural practices."
Emberiza hortulana,"Emberiza hortulana, commonly known as the Ortolan Bunting, is a small passerine bird found across Europe and western Asia, with migratory populations wintering in sub-Saharan Africa. It inhabits open landscapes such as farmland, grasslands, and lightly wooded areas that provide ample seed sources and insect prey. The diet primarily consists of seeds supplemented by insects during the breeding season, supporting chick development. Behaviorally, the Ortolan Bunting is known for its skulking habits, often remaining concealed in low vegetation, and its distinct melodic song. Currently, the species is classified as Least Concern by the IUCN, though populations have declined in some regions due to habitat loss and agricultural intensification."
Emberiza schoeniclus,"Emberiza schoeniclus, commonly known as the reed bunting, is a passerine bird species widely distributed across Europe and Asia. It primarily inhabits wetlands, reed beds, marshes, and damp grasslands, favoring dense vegetation near water bodies. The diet of E. schoeniclus consists mainly of seeds during the winter months, supplemented by insects and other invertebrates in the breeding season to provide protein for nestlings. Behaviorally, reed buntings are generally solitary or found in small groups outside the breeding season, with males exhibiting distinctive song patterns used in territorial defense and mate attraction. The species is currently classified as Least Concern by the IUCN due to its large, stable population and extensive range."
Erithacus rubecula,"Erithacus rubecula, commonly known as the European robin, is a small passerine bird within the family Muscicapidae. It is widely distributed across Europe, western Siberia, and parts of North Africa, inhabiting woodlands, gardens, parks, and hedgerows. The species favors areas with dense undergrowth for nesting. Its diet primarily consists of insects, spiders, and other invertebrates, supplemented by fruits and seeds, particularly in winter. Behaviorally, E. rubecula is territorial and exhibits distinctive melodic singing used for communication and mate attraction. The European robin is currently classified as Least Concern by the IUCN, reflecting its stable population and broad distribution."
Ficedula hypoleuca,"Ficedula hypoleuca, commonly known as the European pied flycatcher, is a small passerine bird native to Europe and western Asia. It primarily inhabits deciduous woodlands, especially oak and mixed forests, often preferring areas with mature trees and open understory. The species is migratory, breeding across Europe and wintering in sub-Saharan Africa. Its diet consists mainly of insects and other small invertebrates, which it captures through agile aerial sallies. The European pied flycatcher is known for its territorial behavior during the breeding season and cavity-nesting habits, frequently utilizing nest boxes. Currently, it is classified as Least Concern by the IUCN due to its wide distribution and stable population."
Fringilla coelebs,"Fringilla coelebs, commonly known as the common chaffinch, is a small passerine bird widely distributed across Europe, North Africa, and western Asia. It inhabits diverse environments, including woodlands, gardens, parks, and farmland. The species exhibits sexual dimorphism, with males displaying more vibrant plumage than females. Its diet primarily consists of seeds and invertebrates, with a seasonal shift favoring insects during breeding for increased protein intake. Fringilla coelebs is known for its distinctive, melodic song used in territorial and mating displays. Behaviorally, it is generally territorial during the breeding season but may form loose flocks in winter. The IUCN currently classifies this species as Least Concern due to its extensive range and stable population trends."
Fringilla coelebs coelebs,"Fringilla coelebs coelebs, commonly known as the common chaffinch, is a passerine bird widely distributed across Europe, western Asia, and northwest Africa. This subspecies inhabits a variety of environments, including woodlands, gardens, and parks, favoring areas with abundant trees and shrubs. Its diet primarily consists of seeds, complemented by insects and other invertebrates, particularly during the breeding season to support chick development. The common chaffinch exhibits territorial and melodic singing behaviors, especially notable during the spring mating period. It is currently classified as Least Concern by the IUCN, owing to its large, stable population and adaptability to diverse habitats."
Fulica atra,"Fulica atra, commonly known as the Eurasian coot, is a widespread waterbird species inhabiting freshwater lakes, ponds, marshes, and slow-flowing rivers across Europe, Asia, Australia, and parts of North Africa. It prefers habitats with abundant aquatic vegetation, which provides both food and nesting materials. The diet of F. atra primarily consists of plant matter, including algae and roots, supplemented by small invertebrates. This species exhibits territorial behavior during the breeding season, often defending nesting sites aggressively. Fulica atra is largely sedentary or migratory depending on region and climate. Its current conservation status is classified as Least Concern by the IUCN, reflecting stable population trends throughout its broad range."
Gallinago gallinago,"Gallinago gallinago, commonly known as the common snipe, is a small wader species characterized by its long, straight bill and cryptic brown-and-striped plumage. It inhabits wetlands, marshes, bogs, and wet meadows across much of Europe and Asia, with migratory populations wintering in Africa and southern Asia. The species primarily feeds on invertebrates, probing soft mud with its sensitive bill to locate insects, worms, and mollusks. Behaviorally, Gallinago gallinago exhibits distinctive aerial courtship displays involving rapid, vibrating wing sounds. Although generally widespread and classified as Least Concern by the IUCN, local populations may be affected by wetland drainage and habitat loss."
Gallinula chloropus,"Gallinula chloropus, commonly known as the Common Moorhen, is a waterbird species widely distributed across Europe, Asia, Africa, and parts of the Americas. It inhabits freshwater wetlands, including lakes, ponds, marshes, and slow-moving rivers with abundant aquatic vegetation. The species is omnivorous, feeding on a varied diet consisting of plant material, seeds, insects, and small aquatic animals. Behaviorally, Common Moorhens are largely secretive but can be seen walking on floating vegetation or swimming in water. They exhibit territoriality during the breeding season and build nests concealed in dense vegetation. Currently, Gallinula chloropus is classified as Least Concern by the IUCN, reflecting a stable global population."
Garrulus glandarius,"Garrulus glandarius, commonly known as the Eurasian jay, is a member of the corvid family widespread across Europe and parts of Asia. It inhabits mixed woodlands, particularly favoring oak and beech forests, and is also found in parks and gardens. Its diet is omnivorous, consisting primarily of acorns, seeds, insects, small vertebrates, and occasionally eggs and nestlings. The Eurasian jay is noted for its intelligence, complex social behavior, and ability to mimic sounds. It caches food to consume later, especially during winter. Currently, Garrulus glandarius is classified as Least Concern by the IUCN, with stable populations due to its broad distribution and adaptability."
Grus grus,"Grus grus, commonly known as the common crane, is a large, migratory bird species belonging to the family Gruidae. It inhabits wetlands, marshes, and agricultural fields across temperate regions of Europe and Asia. Its breeding range extends from Scandinavia and Eastern Europe to Western Russia, while wintering populations migrate to the Mediterranean, North Africa, and parts of South Asia. The diet of Grus grus is omnivorous, comprising grains, seeds, roots, insects, and small vertebrates. Behaviorally, common cranes are known for their elaborate courtship displays and strong pair bonds. Currently, the species is classified as Least Concern by the IUCN, although habitat loss and wetland degradation pose localized threats."
Haematopus ostralegus,"Haematopus ostralegus, commonly known as the Eurasian oystercatcher, is a wading bird species belonging to the family Haematopodidae. It inhabits coastal areas, estuaries, and mudflats primarily across Europe and parts of Asia, extending from Iceland and the British Isles to Siberia. Its diet mainly consists of bivalve mollusks, worms, and other invertebrates, which it extracts from soft substrates using its strong, chisel-like bill. The species exhibits territorial breeding behavior, nesting on sandy or rocky shores. Currently, Haematopus ostralegus is classified as Least Concern by the IUCN, although some local populations face pressures from habitat disturbance and human activities."
Hippolais icterina,"Hippolais icterina, commonly known as the Icterine Warbler, is a small passerine bird belonging to the family Acrocephalidae. It predominantly inhabits broad-leaved woodlands, forest edges, and thickets across temperate Europe and parts of western Asia during the breeding season. The species prefers areas with dense foliage for nesting. Migratory in nature, it winters in sub-Saharan Africa. Its diet mainly consists of insects and other small invertebrates, which it forages for among leaves and branches. The Icterine Warbler is known for its melodious and varied song. Currently, it is classified as Least Concern by the IUCN, reflecting stable population trends."
Hirundo rustica,"Hirundo rustica, commonly known as the barn swallow, is a widely distributed passerine bird found across North America, Europe, Asia, and parts of North Africa. It inhabits open areas such as farmland, grasslands, and near water bodies, often nesting in man-made structures. The species primarily feeds on flying insects, caught in agile, acrobatic flight. Barn swallows exhibit strong migratory behavior, traveling long distances between breeding and wintering grounds. They are social birds, frequently forming large flocks outside the breeding season. Currently, Hirundo rustica is classified as Least Concern by the IUCN due to its extensive range and stable population trends."
Ixobrychus minutus,"Ixobrychus minutus, commonly known as the little bittern, is a small heron species distributed across temperate and tropical regions of Europe, Asia, and northern Africa. It inhabits dense wetlands, including reed beds, marshes, and slow-moving freshwater bodies, where it relies on extensive vegetation for cover. The diet primarily consists of small fish, amphibians, aquatic insects, and crustaceans, which it captures through stealthy hunting. Behaviorally, this species is secretive and predominantly solitary outside the breeding season. Breeding typically occurs in reed beds with the construction of nests close to water. Currently, Ixobrychus minutus is listed as Least Concern by the IUCN, though habitat degradation poses localized threats."
